,Drug_ID,Drug,Y,property
54,54,CC(C)(c1ccc(OP(O)O)cc1)c1ccc(OP(O)O)cc1,0,1
55,55,CCCCCCCC(=O)Cl,1,1
56,56,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1,1
57,57,COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@H]1O4,1,1
58,58,O=[N+]([O-])c1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1,1
59,59,O=C1C=C[C@]2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1[C@H]2[C@H]1O[C@H]1C3=O,1,1
60,60,COC(N)=O,0,1
61,61,Cc1c2ccccc2c(CBr)c2ccccc12,1,1
62,62,C=CC(=O)OC,0,1
63,63,OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1,1,1
64,64,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,0,1
65,65,CCCCN(COC(C)=O)N=O,1,1
66,66,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,0,1
67,67,C1CSCCO1,0,1
68,68,Cc1ccccc1N,1,1
69,69,O=C1c2ccccc2-c2ccccc21,0,1
70,70,CS(=O)(=O)Nc1ccc(Nc2c3ccc(N=[N+]=[N-])cc3nc3ccc(N=[N+]=[N-])cc23)cc1,0,1
71,71,C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1,1
72,72,Nc1ccccc1SCCSc1ccccc1N,1,1
73,73,O=C(NO)c1ccccc1O,1,1
74,74,Nc1c(O)cccc1[N+](=O)[O-],0,1
75,75,CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1,0,1
76,76,O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O,1,1
77,77,c1cc2c3c(cccc3c1)CC2,0,1
78,78,CN(C)CCCNc1c2ccccc2nc2c(N(CCO)CCO)ccc([N+](=O)[O-])c12,1,1
79,79,CCCCOc1ccc(N=O)cc1,1,1
80,80,Cc1cc(S(=O)(=O)O)c(N)cc1Cl,1,1
81,81,COC(=O)C1=CCCN(C)C1,1,1
82,82,CNC(=O)ON,1,1
83,83,C=CC(=O)O,0,1
84,84,O=C(O)CC(=O)O,0,1
85,85,CCCCC=O,0,1
86,86,O=Nc1ccccc1-c1ccccc1,1,1
87,87,CSC(C)(C)C(=O)NC(CS)C(=O)O,0,1
88,88,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0,1
89,89,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0,1
90,90,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0,1
91,91,COc1ccc(O)c(C(C)(C)C)c1,0,1
92,92,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCl,1,1
93,93,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0,1
94,94,OCc1cc2ccc3cccc4ccc(c1)c2c34,1,1
95,95,CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1,1,1
96,96,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,1
97,97,N#Cc1ccccc1C#N,0,1
98,98,CC(=O)Nc1cc(N=[N+]([O-])c2ccc(C)c(NC(C)=O)c2)ccc1C,0,1
99,99,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(=C(O)OC2CN(C(c3ccccc3)c3ccccc3)C2)C(N)=N1,0,1
100,100,c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1,0,1
101,101,CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,1,1
102,102,C=CC(=O)OCCCCCC,0,1
103,103,ClC(Cl)(Cl)c1ccccc1,1,1
104,104,CCCCCCCC/C=C/CCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC,0,1
105,105,CCC(CC)[N+](=O)[O-],0,1
106,106,CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12,1,1
107,107,Cc1ccc(C#N)cc1,0,1
108,108,COc1nsc2cc(OCC3CO3)ccc12,1,1
109,109,CCCON=O,1,1
110,110,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0,1
111,111,c1ccc2c(c1)ccc1ccc3c(c12)CCC3,1,1
112,112,N#CCCN,0,1
113,113,Clc1cccc2oc3ccccc3c12,0,1
114,114,C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21,1,1
115,115,CCCCC,0,1
116,116,[N-]=[N+]=NCCC(N)C(=O)O,1,1
117,117,COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl,1,1
118,118,CC(C)CCOC(=O)/C=C\c1ccccc1,0,1
119,119,Cc1ccc(S(=O)(=O)NN)cc1,1,1
120,120,FC(F)C(F)(F)F,0,1
121,121,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1,1
122,122,O=C1NC(=O)C(Cl)(Cl)C1=C(Cl)Cl,1,1
123,123,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,1,1
124,124,Cc1ccc(N)c(C)c1,1,1
125,125,CN(C[C@H](O)CO)N=O,1,1
126,126,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,1,1
127,127,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,1,1
128,128,Cc1ccc2c(c1)C(C)C1C(=Nc3ccccc31)N2C,1,1
129,129,O=C(O)/C=C/c1ccc(Cl)cc1,0,1
130,130,CCc1ccc([N+](=O)[O-])cc1,0,1
131,131,NC(=O)CCCCC(N)=O,0,1
132,132,O=[N+]([O-])c1cccc2c1ccc1cccc([N+](=O)[O-])c12,1,1
133,133,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0,1
134,134,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O,0,1
135,135,COc1cccc(N)c1,1,1
136,136,CCCNC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1,1
137,137,O=P1(Oc2ccccc2)OCc2ccccc2O1,1,1
138,138,CN(C)c1ccc(N=O)cc1,1,1
139,139,CN(C)N=Nc1ccc(Br)cc1,1,1
140,140,C=C(C)C(=O)OC(C)(C)C,0,1
141,141,Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,0,1
142,142,CNCc1ccc(CSCCN=C(NC[C@H](O)c2ccc(O)cc2)NS(C)(=O)=O)o1,0,1
143,143,Cc1cccc(N)c1N,1,1
144,144,CCOC(=O)C[C@H](SP(=S)(OC)OC)C(=O)OCC,0,1
145,145,Nc1cccc2cccnc12,1,1
146,146,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,0,1
147,147,N#CCCNCCC#N,0,1
148,148,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C,0,1
149,149,Clc1ccnc2ccccc12,1,1
150,150,O=C1OCC(CCl)=C1Br,1,1
151,151,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,0,1
152,152,COc1cc2c3c(c1)Oc1c(OC)c(OC)cc4c1[C@H](Cc1ccc(OC)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,1,1
153,153,CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)nc3c2)CC1,0,1
154,154,O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,1,1
155,155,Cc1ccc(S(=O)(=O)NC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,0,1
156,156,Cc1c([N+](=O)[O-])ccc2ccccc12,1,1
157,157,OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O,1,1
158,158,C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@H]3[C@H]1CC[C@@H]2O,0,1
159,159,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0,1
160,160,CNC(=O)CSP(=S)(OC)OC,1,1
161,161,CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,1,1
162,162,CCOc1ccccc1C(N)=O,0,1
163,163,CS(=O)c1ccc(Cl)cc1,0,1
164,164,CCCCCCCC/C=C\CCCCCCCCN,1,1
165,165,NCCCNCCCN,0,1
166,166,COC(=O)[C@]12O[C@@]1(C)[C@](O)(C(C)C)NC2=O,1,1
167,167,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0,1
168,168,CC1=CC(=O)c2ccccc2C1=O,1,1
169,169,CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1,0,1
170,170,O=C(c1ccc2c(c1)OCO2)[C@@H]1CO1,1,1
171,171,C=C1CCC2C(c3c(C)c(O)c4c(c31)C(=O)C(C)C4)C2(C)C,0,1
172,172,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,1,1
173,173,CS(=N)(=O)CCC(N)C(=O)O,0,1
174,174,O=Cc1cccc(Cl)c1,0,1
175,175,CCCCCCCCn1sccc1=O,0,1
176,176,COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,0,1
177,177,c1ccc2cnncc2c1,0,1
178,178,O=S(=O)(O)OCc1c2ccccc2c2ccc3cccc4ccc1c2c43,1,1
179,179,O=[N+]([O-])c1cc(-c2ccc(O)c([N+](=O)[O-])c2)ccc1O,0,1
180,180,O=C(OCc1cccc([N+](=O)[O-])c1)c1ccccc1,0,1
181,181,COC(=O)/C(C#N)=C/c1ccccc1Br,0,1
182,182,O=[N+]([O-])c1ccc2c(c1)oc1ccc([N+](=O)[O-])cc12,1,1
183,183,Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2C)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,1
184,184,C1CSCN1,1,1
185,185,O=Nn1cc(CCO)c2ccccc21,1,1
186,186,CC(C)(CO)CO,0,1
187,187,O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,0,1
188,188,COC(=O)/C(C#N)=C/c1ccco1,0,1
189,189,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0,1
190,190,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1,1
191,191,O=C(O)/C=C/c1ccccc1,0,1
192,192,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,0,1
193,193,CCN(CC)c1ccc([N+](=O)[O-])cc1,1,1
194,194,CCCCON(OC(C)=O)C(=O)c1ccc(C(C)(C)C)cc1,1,1
195,195,Cc1c2ccccc2cc2c3c(ccc12)C(O)C(O)C1OC31,1,1
196,196,COCCO,0,1
197,197,Fc1cc2ccccc2c2ncccc12,1,1
198,198,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1,1
199,199,Cc1ccc(NCCO)cc1O,0,1
200,200,N#C/C(=C\C=C\c1ccccc1)c1ccc(F)cc1,1,1
201,201,CC(C)C(C)C,0,1
202,202,c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,1,1
203,203,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,1,1
204,204,CNc1ccccc1,0,1
205,205,c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C1,1,1
206,206,CCOc1ccc(NC(C)=O)cc1[N+](=O)[O-],1,1
207,207,C/C=C1\C[C@@H]2C=C[C@H]1C2,0,1
208,208,O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C=CCC4,1,1
209,209,Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1,1,1
210,210,ON=C1CCCCC1,1,1
211,211,COC1=CC(=O)c2c3nc4ccccc4c-3c[nH]c2C1=O,1,1
212,212,N=C(N)NNc1ccc(N=NC(N)=S)cc1,1,1
213,213,CCc1c2ccccc2cc2c1ccc1ccccc12,1,1
214,214,Cc1cnc2c(ccc3c2nc(N)n3C)n1,1,1
215,215,Nc1cccc2cnsc12,1,1
216,216,COc1c2ccccc2[n+]([O-])c2occc12,0,1
217,217,COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1C=CO[C@H]1O2,1,1
218,218,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,0,1
219,219,O=C(O)CCC(=O)Nc1ccc(Cl)cc1,0,1
220,220,CC(C)(CO)C(O)C(=O)NCCC(=O)O,0,1
221,221,ClCc1ccc2ccc3cccc4ccc1c2c34,1,1
222,222,c1ccc2nccnc2c1,1,1
223,223,CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3,1,1
224,224,C=C1CCC2CC1C2(C)C,0,1
225,225,N=C(N)NS(=O)(=O)c1ccc(N)cc1,0,1
226,226,CN(C)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,0,1
227,227,CC(C)CCCC(C)C1CCC2C3CC4OC45CC(O)CCC5(C)C3CCC12C,1,1
228,228,Nc1cc([N+](=O)[O-])c(-c2ccccc2)c([N+](=O)[O-])c1,1,1
229,229,C[C@@H](O)CN(C)c1ccc(NN)nn1,1,1
230,230,CC(=O)/C=C\C1=C(C)CCCC1(C)C,0,1
231,231,COc1cc([N+](=O)[O-])ccc1N,1,1
232,232,C/C=C1/C[C@H](C)[C@](O)(CO)C(=O)OCC2=CC[N@@+]3([O-])CC[C@@H](OC1=O)[C@@H]23,0,1
233,233,COC1(NC(=O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0,1
234,234,CN(C)CCCN1C=CN(C)C1/C=N/O,0,1
235,235,CC12OOC1(C)c1c(ccc3ccccc13)O2,0,1
236,236,CN(C)CCNC(=O)c1cccc2nc(-c3ccccc3)oc12,0,1
237,237,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,0,1
238,238,CC(=O)OC[C@H](O)CO,1,1
239,239,COCC(=O)O,0,1
240,240,Cc1c(N)cccc1N=Nc1cccc(N)c1C,1,1
241,241,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,0,1
242,242,Clc1ccc(C(Cl)(Cl)Cl)cc1,1,1
243,243,CC(=O)c1ccc([N+](=O)[O-])[nH]1,1,1
244,244,NC(=O)c1cnccn1,0,1
245,245,OC1c2ccc3ccccc3c2C2OC2C1O,1,1
246,246,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,0,1
247,247,O=C1CCC(=O)N1c1cc(Cl)c(Cl)c(Cl)c1,0,1
248,248,CSc1cc(SC)c(N)c(C)c1N,1,1
249,249,CCOCCOCCOCC,0,1
250,250,COP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0,1
251,251,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,0,1
252,252,N/C(=N\OS(=O)(=O)O)c1ccccc1,0,1
253,253,ClCc1cc2cccc3ccc4c5ccccc5cc1c4c32,1,1
254,254,Cc1ccc2c(c1)C(C)c1cc(C)ccc1-2,0,1
255,255,CC(=O)OC1Cc2ccc3ccc4cccc5cc1c2c3c45,1,1
256,256,CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1,1,1
257,257,O=S1(=O)CCCO1,1,1
258,258,O=C1OC(O)C(C(Cl)Br)=C1Cl,1,1
259,259,Cc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,1,1
260,260,Nc1ccc(Sc2ccccc2)cc1,1,1
261,261,CC(=O)N(O)c1ccc2ccccc2c1,1,1
262,262,CNC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1,1
263,263,O=[N+]([O-])c1ccc2c(c1)oc1ccccc12,1,1
264,264,CNc1ccc2nccnc2c1C,1,1
265,265,O=C(/C=C/c1ccc(-c2ccccc2)cc1)c1ccccc1,0,1
266,266,Cc1c(Cl)cnc2ccccc12,0,1
267,267,O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,1,1
268,268,C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45,1,1
269,269,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,1
270,270,COP(=O)(OC)OC,1,1
271,271,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1C(O)C3,0,1
272,272,Cc1ccc2nsc(NC(=O)C(Cl)Cl)c2c1,1,1
273,273,O=C(Nc1ccccc1)Nc1snc2ccccc12,0,1
274,274,C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1,0,1
275,275,C/C=C/c1cc(OC)ccc1OC,0,1
276,276,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0,1
277,277,c1cc2cnncc2cn1,0,1
278,278,Oc1ccc2ccc3cc4ccccc4c4ccc1c2c34,1,1
279,279,C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C,0,1
280,280,CC(=O)c1ccc2ccccc2c1,0,1
281,281,O=C(CCl)c1ccccc1,0,1
282,282,O=[N+]([O-])c1cccc2c1-c1cccc3c([N+](=O)[O-])ccc-2c13,1,1
283,283,CCC(=O)Nc1snc2ccc(C)cc12,0,1
284,284,Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1O,0,1
285,285,CC(C)Oc1ccccc1OC(=O)N(C)N=O,1,1
286,286,O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2,1,1
287,287,CN(N=O)c1ccccc1,1,1
288,288,CN(C)CCNC(=O)c1cccc2oc(-c3ccccc3)nc12,0,1
289,289,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,0,1
290,290,Nc1ccc(-c2ccc(-c3ccc(N)cc3)cc2)cc1,1,1
291,291,Cc1cnc2ccc3c(nc(NC4OC(C(=O)O)C(O)C(O)C4O)n3C)c2n1,0,1
292,292,Cc1ccc(S(=O)(=O)OCc2ccccc2)cc1,0,1
293,293,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,1,1
294,294,CC(C)CCCC(C)C1CCC2C3CC4N(N5C(=O)c6ccccc6C5=O)C45CC(Cl)CCC5(C)C3CCC12C,0,1
295,295,C1CCCCCC2OC2CCCC1,0,1
296,296,O=c1c2c(O)cccc2oc2cc3c(c(O)c12)C1CCOC1O3,0,1
297,297,CCN(CCCl)c1ccc(OCCCCCNc2c3ccccc3nc3ccccc23)cc1,1,1
298,298,CC(=O)OCc1c2ccccc2cc2ccc3ccccc3c12,1,1
299,299,O=C(O)c1cc(O)c2cccc(O)c2n1,0,1
300,300,CN1CCCC1=O,0,1
301,301,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,0,1
302,302,CC(C)(O)C#N,0,1
303,303,NCCc1c[nH]cn1,0,1
304,304,Oc1ccc2c(O)cccc2c1,1,1
305,305,CCOC(=O)N(CCC=O)N=O,1,1
306,306,CCOC(C)C(=O)C(O)O,1,1
307,307,OC1C=Cc2c(cc3c(ccc4ccccc43)c2Br)C1O,0,1
308,308,Oc1ccc(Nc2ccc3ccccc3c2)cc1,0,1
309,309,COc1ccc(OC)c(N=Nc2c(O)ccc3ccccc23)c1,1,1
310,310,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,1,1
311,311,C=CC[C@]1([C@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,0,1
312,312,CC(=O)Nc1ccc2c(c1O)Cc1ccccc1-2,0,1
313,313,O=[N+]([O-])c1ccccc1SS/C(Cl)=C(\Cl)C(Cl)=C(Cl)Cl,1,1
314,314,CC(=O)c1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2,1,1
315,315,CC1c2cc(F)ccc2-c2ccc(F)cc21,1,1
316,316,CC(=O)ON(OCc1ccc(-c2ccccc2)cc1)C(=O)c1ccccc1,1,1
317,317,COc1ccc(-c2oc3ccccc3c(=O)c2[N+](=O)[O-])cc1[N+](=O)[O-],1,1
318,318,CCCOS(C)(=O)=O,1,1
319,319,Cc1c(N)cccc1[N+](=O)[O-],1,1
320,320,Nc1cnc2ccccc2c1,1,1
321,321,O=C(O)CCCCC1SCC2NC(=O)NC21,0,1
322,322,CC(C)(C)OOC(=O)c1ccccc1,1,1
323,323,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,0,1
324,324,CC1CC2c3cc(Br)cc4c3c(cn4CC3CC3)CC2N(C)C1,0,1
325,325,Cn1cnc2c3cccnc3ccc21,1,1
326,326,Nc1cc([N+](=O)[O-])ccc1-c1ccc([N+](=O)[O-])cc1,1,1
327,327,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,1,1
328,328,O=C1N(CO)[C@H](O)[C@@H](O)N1CO,1,1
329,329,Oc1ccc2c3ccccc3c3cc4ccccc4cc3c2c1,1,1
330,330,Clc1ccc2ncccc2c1,1,1
331,331,C=CC(=O)OCCCC,0,1
332,332,Cc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O,1,1
333,333,Nc1c2ncn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2nc[n+]1[O-],1,1
334,334,ONc1ccc(Sc2ccccc2)cc1,1,1
335,335,O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1,1
336,336,C=CC(=O)NCCCN(C)C,0,1
337,337,Nc1cccc2nc3ccccc3c(N)c12,1,1
338,338,O=Nc1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43,1,1
339,339,Nc1ccc([N+](=O)[O-])cc1,1,1
340,340,Clc1cccc(Cl)c1,0,1
341,341,CCc1c2ccccc2cc2ccc3ccccc3c12,0,1
342,342,CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,0,1
343,343,Nc1ccc(-c2ccc(N)c(O)c2)cc1O,1,1
344,344,CS(=O)(=O)OC1CN(C(c2ccccc2)c2ccccc2)C1,1,1
345,345,NCCS,0,1
346,346,CC(=O)N(C)c1ccc(N=Nc2ccc(N(C)C(C)=O)cc2)cc1,0,1
347,347,C[n+]1c2ccccc2nc2ccccc21,1,1
348,348,C1CCCNCC1,0,1
349,349,Oc1ccc(Cl)cc1Cc1ccccc1,0,1
350,350,COc1ccc(N)cc1,1,1
351,351,CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,1,1
352,352,O=[N+]([O-])c1ccc2[nH]c3c([N+](=O)[O-])cccc3c2c1,1,1
353,353,CCCCCCCCCCCCCCCCCC1=NCCN1CCO,0,1
354,354,Nc1cccc(-c2ccccc2)c1,1,1
355,355,NCCN1CCNCC1,0,1
356,356,Cc1ccc(N(CCCl)CCCl)cc1,0,1
357,357,OC1C=Cc2c(c3ccccc3c3cc4ccccc4cc23)C1O,1,1
